date,region,new_BBL,retired_BBL,new_MCF,retired_MCF
2007-01-01T00:00:00Z,Eagle Ford,1950.8798868,1703.8219,64943.73813,53117.462
2007-02-01T00:00:00Z,Eagle Ford,2080.8311384,1706.2468,69787.81936,54249.145
2007-03-01T00:00:00Z,Eagle Ford,2097.9728854,1707.7988,70931.58488,55240.582
2007-04-01T00:00:00Z,Eagle Ford,1965.0964872,1709.365,67141.31312,56311.466
2007-05-01T00:00:00Z,Eagle Ford,1873.98024,1711.2701,64761.6662,57329.882
2007-06-01T00:00:00Z,Eagle Ford,1982.287824,1714.3503,69415.2528,58371.553
2007-07-01T00:00:00Z,Eagle Ford,2018.7765675,1719.0829,71724.44979,59370.926
2007-08-01T00:00:00Z,Eagle Ford,1860.125406,1726.0316,67256.9436,60396.379
2007-09-01T00:00:00Z,Eagle Ford,1795.676484,1735.0232,66238.2378,61412.674
2007-10-01T00:00:00Z,Eagle Ford,1529.97485,1745.5021,57856.1462,62384.083
2007-11-01T00:00:00Z,Eagle Ford,1603.9166024,1757.7387,62573.3948,63371.554
2007-12-01T00:00:00Z,Eagle Ford,1652.726008,1769.9574,66853.48018,64301.728
2008-01-01T00:00:00Z,Eagle Ford,1592.960644,1781.3903,65382.02935,65216.871
2008-02-01T00:00:00Z,Eagle Ford,1420.2240801,1788.8518,59608.08105,66054.652
2008-03-01T00:00:00Z,Eagle Ford,1742.25855,1787.8417,73413.0264,66717.567
2008-04-01T00:00:00Z,Eagle Ford,1959.2818844,1771.3844,81155.72516,67192.012
2008-05-01T00:00:00Z,Eagle Ford,2139.3930231,1783.67,84860.13507,67740.953
2008-06-01T00:00:00Z,Eagle Ford,1988.3472768,1811.4903,75185.7664,68426.76
2008-07-01T00:00:00Z,Eagle Ford,2057.4529216,1819.6486,73084.63552,69033.204
2008-08-01T00:00:00Z,Eagle Ford,2162.67302,1887.0523,75098.60432,69873.349
2008-09-01T00:00:00Z,Eagle Ford,2105.5280573,1928.7832,72595.34889,70494.499
2008-10-01T00:00:00Z,Eagle Ford,2257.97906,1961.2414,78893.23087,70846.061
2008-11-01T00:00:00Z,Eagle Ford,2246.9260536,1985.7815,79555.73328,70848.778
2008-12-01T00:00:00Z,Eagle Ford,1958.0692254,2004.5491,71289.44388,70510.281
2009-01-01T00:00:00Z,Eagle Ford,1470.2583296,2013.4522,55506.31308,69772.808
2009-02-01T00:00:00Z,Eagle Ford,1256.3494125,2010.1385,49455.95499,68796.824
2009-03-01T00:00:00Z,Eagle Ford,1208.803653,1998.059,49007.91414,67770.768
