Day,dollars_pBBL,dollars_pMMBTU,dollars_pMCF,ratio_BBLpMCF,year
2021-02-08,57.95,3.4,3.5258,16.4359861591696,2021
2021-02-05,56.8,3.49,3.61913,15.6943795884646,2021
2021-02-04,56.19,2.99,3.10063,18.1221235684361,2021
2021-02-03,55.67,3.01,3.12137,17.8351172722234,2021
2021-02-02,54.77,3.24,3.35988,16.3011774230032,2021
2021-02-01,53.55,2.88,2.98656,17.9303278688525,2021
2021-01-29,52.16,2.68,2.77916,18.7682609133695,2021
2021-01-28,52.26,2.76,2.86212,18.2591924866882,2021
2021-01-27,52.81,2.77,2.87249,18.3847463350612,2021
2021-01-26,52.61,2.73,2.83101,18.5834737425866,2021
2021-01-25,52.78,2.63,2.72731,19.3524021838368,2021
2021-01-22,52.28,2.45,2.54065,20.5774112923858,2021
2021-01-21,53,2.49,2.58213,20.5256900310984,2021
2021-01-20,53.16,2.57,2.66509,19.9467935416815,2021
2021-01-19,52.87,2.65,2.74805,19.2390968141046,2021
2021-01-15,52.25,2.86,2.96582,17.6173874341666,2021
2021-01-14,53.47,2.82,2.92434,18.2844676063659,2021
2021-01-13,52.81,2.82,2.92434,18.0587756553616,2021
2021-01-12,53.08,2.89,2.99693,17.7114580587468,2021
2021-01-11,52.15,2.71,2.81027,18.5569358104381,2021
2021-01-08,52.14,2.77,2.87249,18.1514992219294,2021
2021-01-07,50.63,2.81,2.91397,17.3749214988487,2021
2021-01-06,50.45,2.76,2.86212,17.6267941246349,2021
2021-01-05,49.78,2.77,2.87249,17.3299123756741,2021
2021-01-04,47.47,2.6,2.6962,17.6062606631556,2021
2020-12-30,48.24,2.36,2.44732,19.7113577300884,2020
2020-12-29,47.85,2.4,2.4888,19.2261330761813,2020
2020-12-28,47.5,2.39,2.47843,19.165358714993,2020
2020-12-24,48.18,2.68,2.77916,17.3361735200564,2020
2020-12-23,47.94,2.76,2.86212,16.7498218104063,2020
2020-12-22,47.02,2.76,2.86212,16.4283817589759,2020
2020-12-21,47.79,2.68,2.77916,17.1958433483499,2020
2020-12-18,49.04,2.73,2.83101,17.3224396946673,2020
2020-12-17,48.34,2.7,2.7999,17.2649023179399,2020
2020-12-16,47.86,2.73,2.83101,16.905627320285,2020
2020-12-15,47.58,2.63,2.72731,17.4457615745918,2020
2020-12-14,47.02,2.69,2.78953,16.8558861170161,2020
2020-12-11,46.59,2.54,2.63398,17.688061412767,2020
2020-12-10,46.76,2.45,2.54065,18.4047389447582,2020
2020-12-09,45.48,2.45,2.54065,17.9009308641489,2020
2020-12-08,45.64,2.36,2.44732,18.6489711194286,2020
2020-12-07,45.72,2.39,2.47843,18.4471621147259,2020
2020-12-04,46.23,2.48,2.57176,17.9760164245497,2020
2020-12-03,45.65,2.46,2.55102,17.8948028631685,2020
2020-12-02,45.23,2.75,2.85175,15.8604365740335,2020
2020-12-01,44.54,2.89,2.99693,14.8618753190765,2020
2020-11-30,45.2,2.89,2.99693,15.0821006830323,2020
2020-11-25,45.58,2.47,2.56139,17.7950253573255,2020
2020-11-24,44.71,2.47,2.56139,17.455366031725,2020
2020-11-23,42.91,2.23,2.31251,18.555595435263,2020
2020-11-20,41.99,2.22,2.30214,18.2395510264363,2020
2020-11-19,41.57,2.19,2.27103,18.3044697780302,2020
2020-11-18,41.64,2.37,2.45769,16.9427389133699,2020
2020-11-17,41.24,2.55,2.64435,15.5955149658706,2020
2020-11-16,41.14,2.62,2.71694,15.1420347891378,2020
2020-11-13,39.93,2.82,2.92434,13.6543630357619,2020
2020-11-12,40.9,2.81,2.91397,14.0358342742032,2020
2020-11-11,41.23,2.75,2.85175,14.4577890768826,2020
2020-11-10,41.18,2.74,2.84138,14.4929576473404,2020
2020-11-09,40.05,2.63,2.72731,14.6847993077428,2020
2020-11-06,36.97,2.67,2.76879,13.3524030352609,2020
2020-11-05,38.56,2.69,2.78953,13.8231171559367,2020
2020-11-04,38.97,2.63,2.72731,14.2888047196688,2020
2020-11-03,37.44,2.88,2.98656,12.5361620057859,2020
2020-11-02,36.6,3.03,3.14211,11.648223645894,2020
2020-10-30,35.64,3.03,3.14211,11.3426964682968,2020
2020-10-29,35.94,3.06,3.17322,11.326034753342,2020
2020-10-28,37.27,3.14,3.25618,11.4459274364439,2020
2020-10-27,39.34,3.07,3.18359,12.3571188501032,2020
2020-10-26,38.39,3.14,3.25618,11.7898887653631,2020
2020-10-23,39.73,2.91,3.01767,13.1657868487939,2020
2020-10-22,40.46,2.99,3.10063,13.0489610175997,2020
2020-10-21,39.88,2.95,3.05915,13.0363009332658,2020
2020-10-20,41.37,2.57,2.66509,15.5229279311393,2020
2020-10-19,40.69,2.3,2.3851,17.0600813383087,2020
2020-10-16,40.7,2.16,2.23992,18.1702917961356,2020
2020-10-15,40.84,2.23,2.31251,17.6604641709658,2020
2020-10-14,40.86,2.02,2.09474,19.5060007447225,2020
2020-10-13,40.03,2.14,2.21918,18.0381942879802,2020
2020-10-12,39.22,2.31,2.39547,16.3725698923385,2020
2020-10-09,40.44,2.25,2.33325,17.3320475731276,2020
2020-10-08,41.04,1.49,1.54513,26.5608719007462,2020
2020-10-07,39.82,2.01,2.08437,19.1040938029237,2020
2020-10-06,40.52,1.86,1.92882,21.0076627160647,2020
2020-10-05,39.12,1.92,1.99104,19.6480231436837,2020
2020-10-02,36.9,1.41,1.46217,25.2364636123023,2020
2020-10-01,38.51,1.6,1.6592,23.2099807135969,2020
2020-09-30,40.05,1.66,1.72142,23.2656760116648,2020
2020-09-29,39.03,1.74,1.80438,21.6306986333256,2020
2020-09-28,40.47,1.83,1.89771,21.3257030842436,2020
2020-09-25,40.06,1.9,1.9703,20.3319291478455,2020
2020-09-24,40.11,1.93,2.00141,20.040871185814,2020
2020-09-23,39.92,1.74,1.80438,22.1239428501757,2020
2020-09-22,39.55,1.49,1.54513,25.596551746455,2020
2020-09-21,39.26,1.33,1.37921,28.4655708702808,2020
2020-09-18,41.09,1.56,1.61772,25.3999456024528,2020
2020-09-17,40.99,1.65,1.71105,23.9560503784226,2020
2020-09-16,40.17,2.06,2.13622,18.8042430086789,2020
