State,Play,County,Initial crude oil production rate (b/d),Initial dry natural gas production rate (Mcf/d),Initial decline rate,Hyperbolic parameter,Estimated first 30-day crude oil production rate (b/d),Estimated first 30-day dry natural gas production rate (Mcf/d),Estimated ultimate recovery of crude oil (Mb/well),Estimated ultimate recovery of dry natural gas (MMcf/well),area,county,ratio,scaled_ratio
TX,Bonespring-Avalon,Loving,1395,9569,0.553,0.679,872,5983,195,1338,Delaware Basin,LOVING,4.59955668248896,2.54355484541639
TX,Bonespring-Avalon,Reeves,1165,1889,0.222,0.31,940,1524,214,347,Delaware Basin,REEVES,6.0426012092168,1.34145746844613
TX,Bonespring-First,Loving,1505,5998,0.212,0.3,1225,4884,286,1140,Delaware Basin,LOVING,6.25208402800934,1.32544181393798
TX,Bonespring-First,Pecos,533,347,0.127,0.463,471,307,223,145,Delaware Basin,PECOS,13.7456393144244,1.7456961929319
TX,Bonespring-First,Reeves,591,521,0.114,0.425,529,466,260,229,Delaware Basin,REEVES,14.4585311647641,1.64827255278311
TX,Bonespring-Second,Culberson,823,5681,0.243,0.3,651,4493,135,932,Delaware Basin,CULBERSON,5.39656657927163,1.31136567876301
TX,Bonespring-Second,Loving,1097,2444,0.423,0.752,760,1693,233,519,Delaware Basin,LOVING,6.98542079421139,2.95483299595142
TX,Bonespring-Second,Pecos,415,264,0.082,0.288,383,243,209,133,Delaware Basin,PECOS,16.5719696969697,1.35890151515152
TX,Bonespring-Second,Reeves,765,1136,0.276,0.658,594,882,206,306,Delaware Basin,REEVES,8.86073017049666,2.44556152705708
TX,Bonespring-Third,Culberson,1313,5638,0.146,0.437,1140,4894,458,1966,Delaware Basin,CULBERSON,11.4705662702339,1.67470267545416
TX,Bonespring-Third,Loving,810,1271,0.134,0.398,711,1115,290,455,Delaware Basin,LOVING,11.7758499316742,1.57796389084434
TX,Bonespring-Third,Pecos,809,641,0.179,0.652,683,541,327,259,Delaware Basin,PECOS,13.2913211265293,2.37914648164874
TX,Bonespring-Third,Reeves,1205,1804,0.239,0.571,963,1442,320,479,Delaware Basin,REEVES,8.73424553623527,2.08748468316023
TX,Bonespring-Third,Ward,1039,1208,0.155,0.467,895,1040,358,416,Delaware Basin,WARD,11.3279888462879,1.75583827117463
TX,Bonespring-Third,Winkler,621,505,0.118,0.498,554,450,295,240,Delaware Basin,WINKLER,15.6331422615946,1.84471078686816
TX,Eagle Ford,Atascosa,1269,517,0.437,0.669,865,352,221,90,Eagle Ford,ATASCOSA,5.72635651023109,2.50241779497099
TX,Eagle Ford,Brazos,490,208,0.241,0.613,391,166,139,59,Eagle Ford,BRAZOS,9.33071862348178,2.24870318825911
TX,Eagle Ford,Burleson,558,141,0.198,0.655,463,117,206,52,Eagle Ford,BURLESON,12.1313923105636,2.4020156774916
TX,Eagle Ford,DeWitt,1689,3984,0.251,0.338,1327,3131,284,670,Eagle Ford,DE WITT,5.53199640667935,1.38853109807652
TX,Eagle Ford,Dimmit,677,965,0.225,0.397,546,778,141,201,Eagle Ford,DIMMIT,6.85164985001364,1.54162121625307
TX,Eagle Ford,Frio,523,154,0.204,0.467,430,127,136,40,Eagle Ford,FRIO,8.54408749145591,1.74299384825701
TX,Eagle Ford,Gonzales,1997,766,0.571,0.658,1230,472,258,99,Eagle Ford,GONZALES,4.25140854747836,2.42755428061014
TX,Eagle Ford,Karnes,1428,1981,0.324,0.494,1057,1467,240,333,Eagle Ford,KARNES,5.529503971944,1.79155928690985
TX,Eagle Ford,La Salle,832,2945,0.247,0.45,658,2330,172,609,Eagle Ford,LA SALLE,6.8023411670092,1.68017826825127
TX,Eagle Ford,Lavaca,1167,1996,0.385,0.736,831,1422,263,450,Eagle Ford,LAVACA,7.41614808564498,2.85521701297332
TX,Eagle Ford,Lee,725,85,0.362,0.58,522,61,128,15,Eagle Ford,LEE,5.80495356037152,2.10139318885449
TX,Eagle Ford,Live Oak,1324,4572,0.357,0.457,951,3285,187,646,Eagle Ford,LIVE OAK,4.64785651793526,1.65928477690289
TX,Eagle Ford,McMullen,969,1188,0.243,0.483,770,944,216,265,Eagle Ford,MCMULLEN,7.33763069289385,1.78304425837321
TX,Eagle Ford,Robertson,249,19,0.091,0.393,228,17,131,10,Eagle Ford,ROBERTSON,17.3130193905817,1.57548476454294
TX,Eagle Ford,Webb,307,6898,0.48,0.836,205,4607,68,1530,Eagle Ford,WEBB,7.29616517373457,3.50215928339259
TX,Eagle Ford,Wilson,583,78,0.138,0.257,509,68,164,22,Eagle Ford,WILSON,9.27800269905533,1.28036437246964
TX,Eagle Ford,Zavala,534,79,0.195,0.391,443,65,128,19,Eagle Ford,ZAVALA,7.91139240506329,1.54272151898734
TX,Spraberry-Lower,Andrews,1041,669,0.107,0.202,936,602,355,228,Spraberry,ANDREWS,11.2107623318386,1.19955156950673
TX,Spraberry-Lower,Dawson,392,115,0.204,0.468,323,95,102,30,Spraberry,DAWSON,8.5812356979405,1.75057208237986
TX,Spraberry-Lower,Ector,485,315,0.196,0.771,404,262,217,141,Spraberry,ECTOR,14.7243107769424,2.8859649122807
TX,Spraberry-Lower,Glasscock,1056,2410,0.224,0.455,853,1947,244,557,Spraberry,GLASSCOCK,7.60264249836209,1.70299191963311
TX,Spraberry-Lower,Howard,1082,597,0.211,0.448,884,488,263,145,Spraberry,HOWARD,7.98950894825002,1.68578638808075
TX,Spraberry-Lower,Irion,965,3001,0.284,0.558,741,2306,210,653,Spraberry,IRION,7.15770181869202,2.03278731650853
TX,Spraberry-Lower,Martin,939,568,0.162,0.415,803,486,284,172,Spraberry,MARTIN,9.96108228317272,1.61369532987398
TX,Spraberry-Lower,Midland,1160,1013,0.21,0.578,951,831,355,310,Spraberry,MIDLAND,10.0665038707331,2.11396581285395
TX,Spraberry-Lower,Reagan,936,1764,0.318,0.695,702,1323,235,443,Spraberry,REAGAN,8.2609798305287,2.62699158610813
TX,Spraberry-Lower,Tom Green,3996,496,0.585,0.001,2227,276,153,19,Spraberry,TOM GREEN,1.26008064516129,0.737147177419355
TX,Spraberry-Lower,Upton,1216,1276,0.298,0.693,927,973,324,340,Spraberry,UPTON,8.76505527140736,2.61198647087939
TX,Spraberry-Upper,Andrews,1076,590,0.101,0.001,973,533,308,169,Spraberry,ANDREWS,9.42239072256914,0.951661462979483
TX,Spraberry-Upper,Ector,182,261,0.349,0.687,133,191,41,59,Spraberry,ECTOR,7.43597499495866,2.59515527324057
TX,Spraberry-Upper,Glasscock,1052,906,0.236,0.281,837,721,173,149,Spraberry,GLASSCOCK,5.40984082723365,1.27672243522714
TX,Spraberry-Upper,Howard,1203,692,0.197,0.238,992,571,226,130,Spraberry,HOWARD,6.17964709461515,1.21739047763918
TX,Spraberry-Upper,Martin,921,532,0.167,0.283,782,452,220,127,Spraberry,MARTIN,7.85269093787099,1.31139938662446
TX,Spraberry-Upper,Midland,867,481,0.135,0.154,759,421,218,121,Spraberry,MIDLAND,8.27497538023854,1.1171216763322
TX,Spraberry-Upper,Upton,1057,722,0.17,0.328,896,612,265,181,Spraberry,UPTON,8.24646449919814,1.40189896486368
TX,Wolfcamp-A,Crockett,345,1390,0.36,0.742,251,1010,84,338,Midland Basin,CROCKETT,7.99886406664142,2.87959106399091
TX,Wolfcamp-A,Culberson,746,3440,0.085,0.326,686,3163,382,1761,Delaware Basin,CULBERSON,16.8394277845777,1.43135136168911
TX,Wolfcamp-A,Glasscock,205,116,0.1,0.808,186,105,171,97,Midland Basin,GLASSCOCK,27.5068058076225,2.75068058076225
TX,Wolfcamp-A,Irion,855,2896,0.491,0.703,561,1899,142,481,Midland Basin,IRION,5.46352500726956,2.68259077856935
TX,Wolfcamp-A,Loving,899,1161,0.122,0.351,798,1030,330,426,Delaware Basin,LOVING,12.0699034407725,1.47252821977424
TX,Wolfcamp-A,Pecos,892,748,0.176,0.487,753,632,279,234,Delaware Basin,PECOS,10.2905994933859,1.81114551083591
