GVKEY,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,cshpri,dlc,dltt,dvc,lct,oibdp,pi,ppent,prstkc,pstkl,re,sale,sstk,txditc,xrd,xsga,costat,mkvalt,prcc_f,gind,gsubind,naics,sic,spcindcd,market_share,market_value,CI
2073,677,2011/03/31,2010,INDL,C,D,STD,ESTE.1,EARTHSTONE ENERGY INC -OLD,USD,6.593,20.842,3.356,1.71,0,0,0,1.663,3.153,1.808,13.778,0.122,0,-7.6,8.206,0,2.319,,1.515,I,34.2224,20.06,101020,10102020,211111,1311,380,1.52291983023753e-05,34.2224,1.47322212467076
3594,1109,2010/10/31,2010,INDL,C,D,STD,CRED.1,CREDO PETROLEUM CORP,USD,12.086,53.405,8.525,10.183,0,0,0,2.425,6.305,2.815,35.822,2.066,0,18.524,11.566,0.296,3.281,,2.107,I,80.472,8,101020,10102020,211111,1311,380,2.14648924646933e-05,80.472,0.281548267776347
4052,1260,2010/12/31,2010,INDL,C,D,STD,ESCRQ,ESCALERA RESOURCES CO,USD,21.891,152.517,13.996,11.123,0.545,32,0,14.414,26.721,8.727,130.465,0,40.25,7.006,51.143,0.007,9.578,,6.139,A,54.9942,4.93,101020,10102020,211111,1311,380,9.49143174236389e-05,54.9942,0.108477623971106
106418,1545,2010/12/31,2010,INDL,C,D,STD,FPPP,FIELDPOINT PETROLEUM CORP,USD,3.356,18.562,0.524,8.201,0,6.74,0,0.752,2.622,1.237,15.206,0.831,0,5.577,7.009,0,1.033,,1.129,A,32.7119,4.05,101020,10102020,211120,1311,380,1.30077322570496e-05,32.7119,0.0320980091883614
4844,1807,2010/12/31,2010,INDL,C,D,STD,FST.1,FOREST OIL CORP -OLD,USD,481.683,3785.388,807.778,110.809,287.092,1582.28,0,629.374,592.402,348.148,2715.678,0,0,-1342.841,853.739,10.136,57.56,,73.204,I,4313.2022,37.97,101020,10102020,211111,1311,380,0.00158442121977475,4313.2022,0.357549352494039
177206,1932,2010/12/31,2010,INDL,C,D,STD,GEOI,GEORESOURCES INC,USD,51.256,359.69,81.974,19.721,0,87,0,42.964,59.475,35.254,302.891,0,0,51.133,102.328,0.135,19.289,,10.323,I,438.1367,22.21,101020,10102020,211111,1311,,0.000189906581024307,438.1367,0.330026652065736
5475,2183,2010/12/31,2010,INDL,C,D,STD,HKNI,HKN INC,USD,12.072,79.119,3.118,9.696,0,0,0,4.497,-0.301,-0.212,44.479,0.272,0.2,-377.548,11.184,0,0.573,,3.641,A,35.091,3.5,101020,10102020,211111,1311,380,2.07559534260012e-05,35.091,0.0739247949167813
6311,2577,2010/12/31,2010,INDL,C,D,STD,PNRG,PRIMEENERGY RESOURCES CORP,USD,57.753,208.16,15.203,2.929,0,93.1,0,47.656,55.073,5.286,149.828,3.479,0,46.478,117.964,0,16.445,,13.555,A,54.2069,19.3458,101020,10102020,211120,1311,380,0.000218924829215379,54.2069,0.0839453137941316
6788,2706,2010/12/31,2010,INDL,C,D,STD,RRC,RANGE RESOURCES CORP,USD,261.714,5498.586,1128.48,156.874,0,1960.536,25.574,430.562,139.23,-365.943,4996.79,0,0,409.169,962.309,11.149,672.041,,188.076,A,7192.7068,44.98,101020,10102020,2111,1311,380,0.00178591208739465,7192.7068,0.226118661001143
6936,3021,2010/06/30,2010,INDL,C,D,STD,MPET,MAGELLAN PETROLEUM CORP,USD,41.771,90.706,6.933,51.411,0.922,0.232,0,6.112,4.905,1.188,25.914,0,0,-20.524,28.525,10.001,1.158,,9.901,I,95.7749,1.83,101020,10102020,211111,1311,380,5.29384452321784e-05,95.7749,0.39551600205374
7912,3219,2010/12/31,2010,INDL,C,D,STD,NBL,NOBLE ENERGY INC,USD,1838,13282,1885,175,0,2272,127,1422,1631,1031,10264,13,0,4436,2904,47,2110,,522,A,15218.0832,86.08,101020,10102020,2111,1311,380,0.00538942138314623,15218.0832,0.211417676087932
