month,year,p,q,q_TX
Dec,2020,2.68583,3088701000,763930000
Nov,2020,2.70657,2984528000,747332000
Oct,2020,2.47843,2991827000,760569000
Sep,2020,1.99104,2917569000,746302000
Aug,2020,2.3851,3011580000,788459000
Jul,2020,1.83549,3021331000,766509000
Jun,2020,1.69031,2873001000,733102000
May,2020,1.81475,2927037000,733502000
Apr,2020,1.80438,3011842000,772841000
Mar,2020,1.85623,3196236000,832144000
Feb,2020,1.98067,2984616000,771344000
Jan,2020,2.09474,3194177000,827368000
Dec,2019,2.30214,3234746000,825421000
Nov,2019,2.74805,3133926000,790664000
Oct,2019,2.41621,3186150000,823698000
Sep,2019,2.65472,3056535000,785566000
Aug,2019,2.30214,3146384000,836414000
Jul,2019,2.45769,3071698000,803273000
Jun,2019,2.4888,2956304000,764324000
May,2019,2.73768,3046445000,778371000
Apr,2019,2.74805,2925844000,725217000
Mar,2019,3.05915,3008808000,756354000
Feb,2019,2.78953,2705249000,675802000
Jan,2019,3.22507,2974830000,736511000
Dec,2018,4.18948,2975914000,723083000
Nov,2018,4.24133,2894098000,718347000
Oct,2018,3.40136,2939250000,710011000
Sep,2018,3.111,2808817000,693284000
Aug,2018,3.06952,2855600000,695283000
Jul,2018,2.93471,2799146000,674944000
Jun,2018,3.07989,2655954000,658905000
May,2018,2.9036,2730667000,674031000
Apr,2018,2.9036,2612541000,636646000
Mar,2018,2.78953,2704217000,661047000
Feb,2018,2.76879,2414348000,577886000
Jan,2018,4.01319,2618315000,617543000
Dec,2017,2.92434,2662670000,641322000
Nov,2017,3.12137,2558771000,634003000
Oct,2017,2.98656,2564255000,643745000
Sep,2017,3.09026,2438213000,598544000
Aug,2017,3.0073,2476180000,606441000
Jul,2017,3.09026,2477573000,623728000
Jun,2017,3.09026,2373176000,593886000
May,2017,3.26655,2428739000,607241000
Apr,2017,3.2147,2350432000,588453000
Mar,2017,2.98656,2425799000,596654000
Feb,2017,2.95545,2142588000,524442000
Jan,2017,3.4221,2339431000,565382000
Dec,2016,3.72283,2357556000,571165000
Nov,2016,2.64435,2307494000,568877000
Oct,2016,3.09026,2364679000,594772000
Sep,2016,3.10063,2297402000,581717000
Aug,2016,2.92434,2389813000,609656000
Jul,2016,2.92434,2408915000,624567000
Jun,2016,2.68583,2312288000,601588000
May,2016,1.99104,2412475000,618479000
Apr,2016,1.99104,2361554000,612599000
Mar,2016,1.79401,2441976000,622809000
Feb,2016,2.06363,2310521000,596319000
Jan,2016,2.36436,2435375000,622924000
Dec,2015,2.00141,2434920000,645718000
Nov,2015,2.16733,2356237000,630975000
Oct,2015,2.42658,2445042000,660397000
Sep,2015,2.75842,2383531000,654404000
Aug,2015,2.87249,2447534000,667422000
Jul,2015,2.94508,2444753000,673973000
Jun,2015,2.88286,2358416000,657920000
May,2015,2.95545,2442713000,674199000
Apr,2015,2.70657,2398440000,665298000
Mar,2015,2.93471,2443119000,678110000
Feb,2015,2.97619,2196987000,615252000
Jan,2015,3.10063,2420352000,666792000
Dec,2014,3.60876,2410202000,709749000
Nov,2014,4.27244,2314517000,667510000
Oct,2014,3.91986,2407070000,696484000
Sep,2014,4.06504,2306544000,666809000
Aug,2014,4.05467,2384273000,688575000
Jul,2014,4.19985,2371359000,689726000
Jun,2014,4.75983,2247082000,664213000
May,2014,4.74946,2310058000,682154000
Apr,2014,4.83242,2247677000,651635000
Jan,2014,4.88427,2198795000,623900000
Dec,2013,4.39688,2177887000,660641000
Nov,2013,3.77468,2143606000,657546000
Oct,2013,3.81616,2192600000,663355000
Sep,2013,3.75394,2115463000,642237000
Aug,2013,3.55691,2191677000,655657000
Jul,2013,3.75394,2196404000,652114000
Jun,2013,3.97171,2084393000,631642000
May,2013,4.18948,2157048000,646009000
Apr,2013,4.32429,2094623000,614536000
Mar,2013,3.95097,2136856000,628321000
Feb,2013,3.45321,1935275000,564330000
Jan,2013,3.45321,2136400000,617230000
Dec,2012,3.46358,2152640000,658591000
Nov,2012,3.67098,2101833000,627156000
Oct,2012,3.44284,2168774000,636186000
Sep,2012,2.95545,2094289000,628407000
Aug,2012,2.94508,2151742000,644861000
Jul,2012,3.05915,2162384000,635843000
Jun,2012,2.55102,2039909000,607154000
May,2012,2.51991,2121367000,629597000
Apr,2012,2.02215,2044519000,601984000
Mar,2012,2.25029,2118693000,616831000
Feb,2012,2.60287,1974431000,573572000
Jan,2012,2.76879,2152698000,615313000
Dec,2011,3.28729,2134904000,628759000
Nov,2011,3.35988,2076152000,612834000
Oct,2011,3.70209,2118735000,622392000
Sep,2011,4.0443,1987134000,590030000
Aug,2011,4.21022,2056617000,605105000
Jul,2011,4.58354,2032795000,600815000
Jun,2011,4.70798,1954453000,579536000
May,2011,4.46947,2030695000,606707000
Apr,2011,4.39688,1960847000,579060000
Mar,2011,4.11689,2002359000,599244000
Feb,2011,4.24133,1728929000,499667000
Jan,2011,4.65613,1952732000,588714000
Dec,2010,4.40725,1984174000,592453000
Nov,2010,3.84727,1892658000,573241000
Oct,2010,3.55691,1956114000,574093000
Sep,2010,4.03393,1861038000,550540000
Aug,2010,4.47984,1917995000,568846000
Jul,2010,4.80131,1896082000,569554000
Jun,2010,4.9776,1802492000,542364000
May,2010,4.29318,1886476000,575647000
Apr,2010,4.17911,1813312000,539504000
Mar,2010,4.44873,1864519000,569082000
Feb,2010,5.51684,1682869000,506387000
Jan,2010,6.04571,1824143000,553583000
