Date,U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf),Month,exported_MMCF,percent_residential,percent_industrial,percent_exported
1973-01-15T00:00:00Z,,,,,843900,392315,,,,Jan 1973,5808,,,
1973-02-15T00:00:00Z,,,,,747331,394281,,,,Feb 1973,6079,,,
1973-03-15T00:00:00Z,,,,,648504,310799,,,,Mar 1973,4021,,,
1973-04-15T00:00:00Z,,,,,465867,231943,,,,Apr 1973,8017,,,
1973-05-15T00:00:00Z,,,,,326313,174258,,,,May 1973,8741,,,
1973-06-15T00:00:00Z,,,,,207172,135165,,,,Jun 1973,4131,,,
1973-07-15T00:00:00Z,,,,,150349,107728,,,,Jul 1973,5744,,,
1973-08-15T00:00:00Z,,,,,142498,105681,,,,Aug 1973,8726,,,
1973-09-15T00:00:00Z,,,,,159378,103831,,,,Sep 1973,6403,,,
1973-10-15T00:00:00Z,,,,,205013,126540,,,,Oct 1973,5473,,,
1973-11-15T00:00:00Z,,,,,392459,216762,,,,Nov 1973,5545,,,
1973-12-15T00:00:00Z,,,,,590602,297734,,,,Dec 1973,8481,,,
1974-01-15T00:00:00Z,,,,,816943,406440,,,,Jan 1974,5661,,,
1974-02-15T00:00:00Z,,,,,688478,335562,,,,Feb 1974,5949,,,
1974-03-15T00:00:00Z,,,,,597641,301588,,,,Mar 1974,6677,,,
1974-04-15T00:00:00Z,,,,,482013,243041,,,,Apr 1974,6273,,,
1974-05-15T00:00:00Z,,,,,315920,165233,,,,May 1974,5481,,,
1974-06-15T00:00:00Z,,,,,215382,128032,,,,Jun 1974,7610,,,
1974-07-15T00:00:00Z,,,,,166289,109694,,,,Jul 1974,8072,,,
1974-08-15T00:00:00Z,,,,,142086,107828,,,,Aug 1974,5332,,,
1974-09-15T00:00:00Z,,,,,154824,106510,,,,Sep 1974,6397,,,
1974-10-15T00:00:00Z,,,,,235176,143295,,,,Oct 1974,5332,,,
1974-11-15T00:00:00Z,,,,,358546,199514,,,,Nov 1974,7039,,,
1974-12-15T00:00:00Z,,,,,612830,308879,,,,Dec 1974,6966,,,
1975-01-15T00:00:00Z,,,,,750713,346998,,,,Jan 1975,3959,,,
1975-02-15T00:00:00Z,,,,,732408,345520,,,,Feb 1975,6982,,,
1975-03-15T00:00:00Z,,,,,677687,312362,,,,Mar 1975,6265,,,
1975-04-15T00:00:00Z,,,,,596831,289341,,,,Apr 1975,5815,,,
1975-05-15T00:00:00Z,,,,,337326,164629,,,,May 1975,6677,,,
1975-06-15T00:00:00Z,,,,,203708,119960,,,,Jun 1975,3624,,,
1975-07-15T00:00:00Z,,,,,167293,107077,,,,Jul 1975,8091,,,
1975-08-15T00:00:00Z,,,,,143604,104332,,,,Aug 1975,6288,,,
1975-09-15T00:00:00Z,,,,,153980,106655,,,,Sep 1975,6037,,,
1975-10-15T00:00:00Z,,,,,223383,133055,,,,Oct 1975,5987,,,
1975-11-15T00:00:00Z,,,,,329397,179518,,,,Nov 1975,5202,,,
1975-12-15T00:00:00Z,,,,,607794,298845,,,,Dec 1975,7748,,,
1976-01-15T00:00:00Z,,,,,843235,405483,,,,Jan 1976,5323,,,
1976-02-15T00:00:00Z,,,,,739592,364339,,,,Feb 1976,5337,,,
1976-03-15T00:00:00Z,,,,,578491,285912,,,,Mar 1976,6007,,,
1976-04-15T00:00:00Z,,,,,442648,221383,,,,Apr 1976,5640,,,
1976-05-15T00:00:00Z,,,,,315760,169209,,,,May 1976,4664,,,
1976-06-15T00:00:00Z,,,,,220871,129058,,,,Jun 1976,4755,,,
1976-07-15T00:00:00Z,,,,,170257,112070,,,,Jul 1976,5997,,,
1976-08-15T00:00:00Z,,,,,140774,113174,,,,Aug 1976,5578,,,
1976-09-15T00:00:00Z,,,,,152346,113284,,,,Sep 1976,6540,,,
1976-10-15T00:00:00Z,,,,,241902,145824,,,,Oct 1976,4870,,,
1976-11-15T00:00:00Z,,,,,471326,252710,,,,Nov 1976,5163,,,
