year,source,real_index_2014
1960,EIA,0.131834576336638
1961,EIA,0.129360469005923
1962,EIA,0.137237218875137
1963,EIA,0.127441773524961
1964,EIA,0.127340789552279
1965,EIA,0.135873935243927
1966,EIA,0.149001851692615
1967,EIA,0.154051050326726
1968,EIA,0.165108795335429
1969,EIA,0.171016357737339
1970,EIA,0.173995384931465
1971,EIA,0.165411747253476
1972,EIA,0.178135727811436
1973,EIA,0.185709525762602
1974,EIA,0.201715485432734
1975,EIA,0.236252004090053
1976,MIT,0.253165224853011
1977,MIT,0.268314415416658
1978,MIT,0.300038078026579
1979,MIT,0.326895724291185
1980,MIT,0.3466471571516
1981,MIT,0.398551307249701
1982,MIT,0.424625323718681
1983,MIT,0.308440344201412
1984,MIT,0.261244739354478
1985,MIT,0.258026910948414
1986,MIT,0.241019031014367
1987,MIT,0.20077336997875
1988,MIT,0.214451120002359
1989,MIT,0.226803062798156
1990,MIT,0.232860133355337
1991,MIT,0.23581449398725
1992,MIT,0.198665791206501
1993,MIT,0.198069730818804
1994,MIT,0.208588713426714
1995,MIT,0.222445353078408
1996,MIT,0.227475740776751
1997,MIT,0.23816905018285
1998,MIT,0.263621577733262
1999,MIT,0.267152587933988
2000,MIT,0.261441850171797
2001,MIT,0.316820429537943
2002,MIT,0.341685966974357
2003,MIT,0.527682299238968
2004,MIT,0.568766682999932
2005,IEA,0.768639508070715
2006,IEA,0.912375096079939
2007,IEA,0.987701767870868
2008,IEA,1.08531898539585
2009,IEA,0.830130668716372
2010,IEA,0.961568024596464
2011,IEA,1.08839354342813
2012,IEA,1.02767102229055
2013,IEA,1.00230591852421
2014,IEA,1
2015,IEA,0.749423520368947
2016,IEA,0.641045349730976
2017,IEA,0.695618754803997
2018,IEA,0.777863182167564
2019,IEA,0.766333589546503
